行政区划代码,省,市,县/区,省代码,市代码,县/区代码,
110101,北京市,北京市,东城区,11,01,01,
110102,北京市,北京市,西城区,11,01,02,
110105,北京市,北京市,朝阳区,11,01,05,
110106,北京市,北京市,丰台区,11,01,06,
110107,北京市,北京市,石景山区,11,01,07,
110108,北京市,北京市,海淀区,11,01,08,
110109,北京市,北京市,门头沟区,11,01,09,
110111,北京市,北京市,房山区,11,01,11,
110112,北京市,北京市,通州区,11,01,12,
110113,北京市,北京市,顺义区,11,01,13,
110114,北京市,北京市,昌平区,11,01,14,
110115,北京市,北京市,大兴区,11,01,15,
110116,北京市,北京市,怀柔区,11,01,16,
110117,北京市,北京市,平谷区,11,01,17,
110118,北京市,北京市,密云区,11,01,18,
110119,北京市,北京市,延庆区,11,01,19,
120101,天津市,天津市,和平区,12,01,01,
120102,天津市,天津市,河东区,12,01,02,
120103,天津市,天津市,河西区,12,01,03,
120104,天津市,天津市,南开区,12,01,04,
120105,天津市,天津市,河北区,12,01,05,
120106,天津市,天津市,红桥区,12,01,06,
120110,天津市,天津市,东丽区,12,01,10,
120111,天津市,天津市,西青区,12,01,11,
120112,天津市,天津市,津南区,12,01,12,
120113,天津市,天津市,北辰区,12,01,13,
120114,天津市,天津市,武清区,12,01,14,
120115,天津市,天津市,宝坻区,12,01,15,
120116,天津市,天津市,滨海新区,12,01,16,
120117,天津市,天津市,宁河区,12,01,17,
120118,天津市,天津市,静海区,12,01,18,
120119,天津市,天津市,蓟州区,12,01,19,
130102,河北省,石家庄市,长安区,13,01,02,
130104,河北省,石家庄市,桥西区,13,01,04,
130105,河北省,石家庄市,新华区,13,01,05,
130107,河北省,石家庄市,井陉矿区,13,01,07,
130108,河北省,石家庄市,裕华区,13,01,08,
130109,河北省,石家庄市,藁城区,13,01,09,
130110,河北省,石家庄市,鹿泉区,13,01,10,
130111,河北省,石家庄市,栾城区,13,01,11,
130121,河北省,石家庄市,井陉县,13,01,21,
130123,河北省,石家庄市,正定县,13,01,23,
130125,河北省,石家庄市,行唐县,13,01,25,
130126,河北省,石家庄市,灵寿县,13,01,26,
130127,河北省,石家庄市,高邑县,13,01,27,
130128,河北省,石家庄市,深泽县,13,01,28,
130129,河北省,石家庄市,赞皇县,13,01,29,
130130,河北省,石家庄市,无极县,13,01,30,
130131,河北省,石家庄市,平山县,13,01,31,
130132,河北省,石家庄市,元氏县,13,01,32,
130133,河北省,石家庄市,赵县,13,01,33,
130181,河北省,石家庄市,辛集市,13,01,81,
130183,河北省,石家庄市,晋州市,13,01,83,
130184,河北省,石家庄市,新乐市,13,01,84,
130202,河北省,唐山市,路南区,13,02,02,
130203,河北省,唐山市,路北区,13,02,03,
130204,河北省,唐山市,古冶区,13,02,04,
130205,河北省,唐山市,开平区,13,02,05,
130207,河北省,唐山市,丰南区,13,02,07,
130208,河北省,唐山市,丰润区,13,02,08,
130209,河北省,唐山市,曹妃甸区,13,02,09,
130224,河北省,唐山市,滦南县,13,02,24,
130225,河北省,唐山市,乐亭县,13,02,25,
130227,河北省,唐山市,迁西县,13,02,27,
130229,河北省,唐山市,玉田县,13,02,29,
130281,河北省,唐山市,遵化市,13,02,81,
130283,河北省,唐山市,迁安市,13,02,83,
130284,河北省,唐山市,滦州市,13,02,84,
130302,河北省,秦皇岛市,海港区,13,03,02,
130303,河北省,秦皇岛市,山海关区,13,03,03,
130304,河北省,秦皇岛市,北戴河区,13,03,04,
130306,河北省,秦皇岛市,抚宁区,13,03,06,
130321,河北省,秦皇岛市,青龙满族自治县,13,03,21,
130322,河北省,秦皇岛市,昌黎县,13,03,22,
130324,河北省,秦皇岛市,卢龙县,13,03,24,
130402,河北省,邯郸市,邯山区,13,04,02,
130403,河北省,邯郸市,丛台区,13,04,03,
130404,河北省,邯郸市,复兴区,13,04,04,
130406,河北省,邯郸市,峰峰矿区,13,04,06,
130407,河北省,邯郸市,肥乡区,13,04,07,
130408,河北省,邯郸市,永年区,13,04,08,
130423,河北省,邯郸市,临漳县,13,04,23,
130424,河北省,邯郸市,成安县,13,04,24,
130425,河北省,邯郸市,大名县,13,04,25,
130426,河北省,邯郸市,涉县,13,04,26,
130427,河北省,邯郸市,磁县,13,04,27,
130430,河北省,邯郸市,邱县,13,04,30,
130431,河北省,邯郸市,鸡泽县,13,04,31,
130432,河北省,邯郸市,广平县,13,04,32,
130433,河北省,邯郸市,馆陶县,13,04,33,
130434,河北省,邯郸市,魏县,13,04,34,
130435,河北省,邯郸市,曲周县,13,04,35,
130481,河北省,邯郸市,武安市,13,04,81,
130502,河北省,邢台市,襄都区,13,05,02,
130503,河北省,邢台市,信都区,13,05,03,
130505,河北省,邢台市,任泽区,13,05,05,
130506,河北省,邢台市,南和区,13,05,06,
130522,河北省,邢台市,临城县,13,05,22,
130523,河北省,邢台市,内丘县,13,05,23,
130524,河北省,邢台市,柏乡县,13,05,24,
130525,河北省,邢台市,隆尧县,13,05,25,
130528,河北省,邢台市,宁晋县,13,05,28,
130529,河北省,邢台市,巨鹿县,13,05,29,
130530,河北省,邢台市,新河县,13,05,30,
130531,河北省,邢台市,广宗县,13,05,31,
130532,河北省,邢台市,平乡县,13,05,32,
130533,河北省,邢台市,威县,13,05,33,
130534,河北省,邢台市,清河县,13,05,34,
130535,河北省,邢台市,临西县,13,05,35,
130581,河北省,邢台市,南宫市,13,05,81,
130582,河北省,邢台市,沙河市,13,05,82,
130602,河北省,保定市,竞秀区,13,06,02,
130606,河北省,保定市,莲池区,13,06,06,
130607,河北省,保定市,满城区,13,06,07,
130608,河北省,保定市,清苑区,13,06,08,
130609,河北省,保定市,徐水区,13,06,09,
130623,河北省,保定市,涞水县,13,06,23,
130624,河北省,保定市,阜平县,13,06,24,
130626,河北省,保定市,定兴县,13,06,26,
130627,河北省,保定市,唐县,13,06,27,
130628,河北省,保定市,高阳县,13,06,28,
130629,河北省,保定市,容城县,13,06,29,
130630,河北省,保定市,涞源县,13,06,30,
130631,河北省,保定市,望都县,13,06,31,
130632,河北省,保定市,安新县,13,06,32,
130633,河北省,保定市,易县,13,06,33,
130634,河北省,保定市,曲阳县,13,06,34,
130635,河北省,保定市,蠡县,13,06,35,
130636,河北省,保定市,顺平县,13,06,36,
130637,河北省,保定市,博野县,13,06,37,
130638,河北省,保定市,雄县,13,06,38,
130681,河北省,保定市,涿州市,13,06,81,
130682,河北省,保定市,定州市,13,06,82,
130683,河北省,保定市,安国市,13,06,83,
130684,河北省,保定市,高碑店市,13,06,84,
130702,河北省,张家口市,桥东区,13,07,02,
130703,河北省,张家口市,桥西区,13,07,03,
130705,河北省,张家口市,宣化区,13,07,05,
130706,河北省,张家口市,下花园区,13,07,06,
130708,河北省,张家口市,万全区,13,07,08,
130709,河北省,张家口市,崇礼区,13,07,09,
130722,河北省,张家口市,张北县,13,07,22,
130723,河北省,张家口市,康保县,13,07,23,
130724,河北省,张家口市,沽源县,13,07,24,
130725,河北省,张家口市,尚义县,13,07,25,
130726,河北省,张家口市,蔚县,13,07,26,
130727,河北省,张家口市,阳原县,13,07,27,
130728,河北省,张家口市,怀安县,13,07,28,
